isocode,year,r,Y,NFA_Y,PB_Y,G_Y,C_Y,Inc_Y,tau,d_bar,pop,pop_growth,pop_working
GBR,2018,0.03643402129282435,0.04817106530539487,0.039087018341351865,0.013089042932017056,0.1100121602686624,0.5243272247791532,0.6526923858616428,0.31202767630581957,0.6297772274957488,1.0129325873682238,0.0059613702435465,0.8513814972313113
GBR,2019,0.035663017948885926,0.04860517573557195,-0.008077227149250632,-0.19450931980232014,0.1790023843678244,0.5242449706433194,0.7856217398305771,0.19365201527098355,1.361899339690421,1.0183340604273319,0.0053325099088203,0.854607719127807
GBR,2020,0.035805970561818036,0.04868441520946631,-0.0602088384873829,0.0096739427707168,0.11084712542875509,0.5257309081246753,0.6546782536375984,0.31059501604043227,0.6388633716971639,1.0219664960070214,0.0035670373022436,0.8570327516308582
GBR,2021,0.03478312490956909,0.049317556360425896,-0.14249456062834032,0.056327646561029496,0.0952832274769544,0.5218179473454044,0.6158864971311178,0.3373000562454766,0.47460942200634315,1.0267733102268097,0.0047034949174649,0.8609115075715759
GBR,2022,0.033833440758372975,0.050054794255070444,-0.19397367927187315,-0.0023612277840622253,0.11471275643627067,0.5194351013446994,0.6468258195461183,0.3039622411537513,0.6794604304119914,1.0345041182962735,0.0075292257720995,0.8663213808727939
GBR,2023,0.033066733834819145,0.05065899060364986,-0.2402925373081395,-0.015951878862891095,0.11897772877293783,0.5186344526574134,0.6507748389399837,0.2966442634802392,0.7232106812674409,1.0421207939349753,0.0073626344293782,0.8707583069212819
GBR,2024,0.03246823751769979,0.051140167251828975,-0.28679096939214865,-0.017409648832512295,0.11924258118474257,0.5179996103975393,0.6478631252051569,0.2961898211337555,0.7251337993968671,1.0489986482525717,0.0065998628543109,0.8750072237674059
GBR,2025,0.031887520133899123,0.05158675152600744,-0.34049272053822843,-0.007720388777847767,0.11586070035522197,0.5166875116260822,0.6375083604637397,0.3019925617968403,0.6901857667020884,1.0552331968718778,0.0059433333204876,0.8792776001892348
GBR,2026,0.031355821194374585,0.05200673989778179,-0.38767454855854666,-0.008141996987095973,0.11583379387341117,0.5155217926556646,0.634135620042983,0.3020387288098058,0.6895832659300094,1.0609688150381984,0.0054354034570966,0.8829477026259719
GBR,2027,0.030884675616530986,0.05238959596411111,-0.4320477245351011,-0.009074930900262845,0.11595240571047417,0.514514261248976,0.6315388353561844,0.30183521077805237,0.6903979681074024,1.0664405304534958,0.0051572820404721,0.8861878321021819
GBR,2028,0.03045970099471448,0.05275943008417851,-0.4767675906540081,-0.0071988935441336666,0.1151243339600312,0.513431662479145,0.6273274248906755,0.30325604310789184,0.6817981663980048,1.0717261689736866,0.0049563368694764,0.8891311980336853
GBR,2029,0.03007165545645279,0.05311976449221496,-0.5186994713413915,0.002483266740808815,0.11169216846776861,0.5123340092328129,0.6181535080129554,0.3091450638239801,0.6477938436800966,1.0766846227932279,0.0046266051563241,0.8917048352099572
GBR,2030,0.02964744723974654,0.053510070297422836,-0.5599154719339952,0.0021469335423599106,0.11160627305846661,0.5109993773228103,0.6153311489271732,0.3092924459493283,0.6469590120774925,1.081436984749445,0.0044138848606272,0.8940768587317012
GBR,2031,0.029274185830314572,0.05389727714016551,-0.5985357888096408,0.0023845500360464567,0.11133567815203073,0.5096847846563337,0.6124421988215608,0.3097567414540938,0.644357025828481,1.0859491670870516,0.0041723950643801,0.8961933042117313
GBR,2032,0.028963238347045204,0.05425598215638151,-0.6342913554279708,0.002223386583835557,0.11119334264510744,0.5084888703466731,0.6101891281532469,0.31000096532697985,0.6430267066348917,1.090162173521598,0.0038795613664379,0.8979679840565796
GBR,2033,0.02869750064653277,0.05460844952338643,-0.6687588359591743,0.002181672366940904,0.11101550366277041,0.507243632098992,0.6080842541841299,0.31030610721290347,0.641381520262628,1.0942637678589517,0.0037623708077341,0.8996105137065712
GBR,2034,0.028458555175055068,0.05495104438126096,-0.700313190283901,0.0020810824722192617,0.11085944330562042,0.5060178140369584,0.6062318083522781,0.31057388062834285,0.6399678102910724,1.0981884341325328,0.0035865815801066,0.9010778596819693
GBR,2035,0.028225343153609944,0.055287919811886126,-0.728733342318427,0.0019619352268345075,0.11072324232351673,0.5048654167386957,0.6045215333323193,0.3108075786848522,0.6387570589375899,1.1019524639489693,0.0034274899456665,0.902504891416645
GBR,2036,0.028023700574762854,0.055620182322923165,-0.7542135081880126,0.0021677096798821127,0.11050188319554993,0.5037421292093222,0.6027854660401631,0.311187393846222,0.636764930217037,1.10559461066358,0.0033051758889477,0.9039660275835945
GBR,2037,0.027868814831675307,0.05593309515939179,-0.7775317681000784,0.0023944565654132194,0.11027316721711268,0.5026360083013367,0.601288672873877,0.31157983212991025,0.634731210686871,1.1089945717035399,0.0030752330078014,0.905164944054344
GBR,2038,0.027739509901837045,0.05622780390037304,-0.7990462331796264,0.002784577432616342,0.11001744181141816,0.5015286256599525,0.5998139684148963,0.3120186140636952,0.6324588254348689,1.112250218287772,0.0029356740486394,0.9064730113613283
GBR,2039,0.027612928207272232,0.05649709515482043,-0.8179233476053005,0.0031565568542042816,0.10979238176666567,0.5005084885028251,0.5984257602764499,0.312404779377955,0.6304718688769022,1.1153900607278753,0.0028229641032904,0.9079629271323395
GBR,2040,0.02745920685682405,0.056741654679749655,-0.8342307696753135,0.003331660770382272,0.10964683319532192,0.499651708037501,0.5971527104113532,0.3126545163308417,0.6292130459300882,1.1184296459581602,0.0027251320746943,0.9096093955987271
GBR,2041,0.027316626775715423,0.05696973540883545,-0.8478167783277986,0.0033756741631463943,0.1095611422046053,0.4988826973490008,0.5960683262393266,0.3128015477081601,0.6284922610853438,1.1214154020180376,0.0026695966712502,0.911383235397788
GBR,2042,0.027208980049979854,0.05718850329438401,-0.8596668055236316,0.003327186072369287,0.1095288220758286,0.4980610085542366,0.5952060365809972,0.31285700363193236,0.6282393735137561,1.124204868533877,0.0024874515820094,0.9131303051136493
GBR,2043,0.027109736341222032,0.05740458607881864,-0.8719184019516035,0.003583660567438668,0.10941803526071356,0.49715808352423846,0.5941495990967083,0.31304709523758273,0.6272594667578213,1.1269104454334973,0.0024066582304955,0.9149928192021931
GBR,2044,0.02700284968579486,0.05760258238887399,-0.8825506346593981,0.004361021794956371,0.10912185558501761,0.4964234884473653,0.5927703041989314,0.31355528991811016,0.6246202665471977,1.129686963769442,0.0024638322833867,0.9169024650101417
GBR,2045,0.02687088944838694,0.05775471818727522,-0.8904208890121712,0.004608744430065523,0.1089671290330893,0.4960258128953194,0.5917807113943199,0.3138207747473496,0.6232989199268992,1.132376674589473,0.0023809346361369,0.918627897751049
GBR,2046,0.026740900097825704,0.057886842871558104,-0.8959627447572869,0.0046545246407757035,0.10889653585498235,0.4957474614523082,0.5909855252619317,0.3139419008087891,0.6227221405159218,1.1349666905032725,0.0022872388419148,0.9204735159348085
GBR,2047,0.026631781001546513,0.058009497316560237,-0.8996165880694251,0.004472269136587909,0.10891039338918693,0.49547749705139515,0.590460521994301,0.313918123602769,0.6228951210297943,1.1374355831849583,0.0021752996826638,0.9222700288924999
GBR,2048,0.026534863115713132,0.05813577210652634,-0.9031615003540532,0.004822718048167848,0.10876202823680953,0.495098856431987,0.5896290733376236,0.31417269333661946,0.6216011264639867,1.1397127911330618,0.0020020544299546,0.9239758647672318
GBR,2049,0.026446072369400716,0.05823836818708093,-0.9054910852525442,0.005579288348441638,0.10847325001884983,0.4948045030850648,0.5886158095838441,0.3146681883562371,0.6190626254088476,1.141725594816132,0.0017660622033286,0.9254451632154991
GBR,2050,0.02635316782122128,0.05829621649143403,-0.9053755866139062,0.00593023401326194,0.10827451224428239,0.4948097083281047,0.5879865443286717,0.31500918906676095,0.6173913149720477,1.143515209567355,0.0015674648613892,0.9264612608227055
GBR,2051,0.026266344887024246,0.058330305678660814,-0.9035237971820171,0.005988631795438321,0.10815955588605547,0.4949536068552483,0.5876470337074186,0.3152064349095301,0.6164919175596385,1.1451011488409384,0.0013868982767473,0.9272282971599778
GBR,2052,0.026192115665801267,0.058356369472179294,-0.9003277173545028,0.005794663702193212,0.1081590211281997,0.4950941389179709,0.5875399550655316,0.3152073524643793,0.616570942410263,1.1464573187109677,0.001184323211449,0.9280433433624257
GBR,2053,0.026129505702140204,0.0583884393719838,-0.8967646219372973,0.005804101626680144,0.10812800807611934,0.49511565622403836,0.5873344827257813,0.315260565663621,0.616332784388646,1.1475270480943118,0.0009330738841171,0.9288615850194084
GBR,2054,0.026077091489615543,0.05841644534481158,-0.8924048541630691,0.006277104770749331,0.10794106470510387,0.49513271020088284,0.5868905939777584,0.31558132915452125,0.6147218617698151,1.1484112172939536,0.0007704996593413,0.9294778295150719
GBR,2055,0.02602624787523198,0.05841646695965679,-0.887418223005267,0.006557193149861917,0.10776314881244088,0.4952947484609636,0.5866742262765718,0.31588660300567317,0.6132723282773127,1.1490541126625995,0.0005598128605541,0.9294609076872543
GBR,2056,0.025986334939046223,0.0583987756726216,-0.8812507224410542,0.006552260132616838,0.10766315624277835,0.49553230443261603,0.5867563525954599,0.3160581734953611,0.6125397063496525,1.1494005372643603,0.0003014867602344,0.9290416571996896
GBR,2057,0.025964621053767466,0.05837906583002403,-0.8738522348638718,0.006330823243337613,0.10766674318229516,0.4957566596508745,0.5870534337298137,0.3160520189083607,0.6126713044336098,1.1495837722467435,0.0001594178673514,0.9287136727919555
