isocode,year,r,Y,NFA_Y,PB_Y,G_Y,C_Y,Inc_Y,tau,d_bar,pop,pop_growth,pop_working,r_soe,Y_soe,PB_Y_soe,G_Y_soe,tau_soe,d_bar_soe
SWE,2381,0.02332447218345762,0.00535511083312499,-0.45890880128519296,0.002581541601352322,0.2748231782568419,0.5363257208935386,0.627910680468341,0.43648844421471317,0.3741996689845099,0.5009672954419652,-0.0049999999999998,0.37102301150456174,0.0382200242836967,0.005119366337934032,0.007303454541212007,0.2732492072768886,0.43847918984178424,0.3655001113719929
SWE,2382,0.02332459245595834,0.005328333141608394,-0.4589014062464476,0.002581575724937668,0.27482316676173846,0.5363260969801308,0.6284876542110569,0.43648845875362596,0.37419960562147536,0.4984624589647553,-0.0050000000000001,0.3691678964470389,0.0382200242836967,0.005093769481370411,0.007303454460295455,0.2732492071832859,0.43847918996017227,0.36550011106912744
SWE,2383,0.0233247090285291,0.005301689415198877,-0.4588942283554447,0.0025816087648541375,0.2748231556340663,0.5363264622618905,0.6290675090137899,0.4364884728278148,0.3741995442804284,0.4959701466699315,-0.005,0.3673220569648037,0.0382200242836967,0.005068300610488312,0.007303454383544128,0.27324920709450295,0.43847919007246416,0.3655001107818582
SWE,2384,0.023324821981399475,0.005275178981894871,-0.45888726290592086,0.002581640742589375,0.27482314486634324,0.536326816883749,0.6296502596249337,0.4364884864467429,0.37419948492047056,0.49349029593658195,-0.0049999999999998,0.36548544667997973,0.0382200242836967,0.005042959085280693,0.007303454310745694,0.2732492070102911,0.43847919017897463,0.3655001105093784
SWE,2385,0.023324931391278135,0.005248801173146347,-0.45888050527876434,0.0025816716782809945,0.2748231344515535,0.5363271609277099,0.6302359208574705,0.43648849961928377,0.37419942750325697,0.491022844456899,-0.0050000000000001,0.36365801944657977,0.0382200242836967,0.005017744268944933,0.007303454241694318,0.2732492069304157,0.4384791902800004,0.3655001102509309
SWE,2386,0.023325037331126456,0.005222555323839794,-0.45887395089592165,0.0025817015905655327,0.2748231243831974,0.5363274943928283,0.6308245075905391,0.43648851235365826,0.37419937199327297,0.4885677302346145,-0.005,0.3618397293493469,0.0382200242836967,0.004992655527866641,0.0073034541761995975,0.2732492068546527,0.43847919037582483,0.36550011000578864
SWE,2387,0.02332513986984885,0.005196440772284506,-0.4588675951571859,0.0025817304963476895,0.2748231146553672,0.5363278171664263,0.6314160347716224,0.4364885246573384,0.37419931835825476,0.48612489158344135,-0.0050000000000001,0.36003053070260016,0.0382200242836967,0.004967692231603393,0.007303454114075958,0.2732492067827911,0.43847919046671485,0.3655001097732707
SWE,2388,0.02332523907186736,0.005170456860200939,-0.45886143335476515,0.0025817584103315916,0.2748231052629027,0.5363281289626423,0.6320105174196109,0.4364885365368506,0.3741992665700508,0.48369426712552427,-0.0049999999999998,0.3582303780490872,0.0382200242836967,0.004942853752868733,0.007303454055152481,0.2732492067146291,0.43847919055292556,0.3655001095527225
SWE,2389,0.023325334996372547,0.005144602932714313,-0.45885546054109083,0.0025817853444942696,0.2748230962015663,0.5363284293050073,0.6326079706291038,0.4364885479975549,0.37419921660558847,0.48127579578989665,-0.005,0.3564392261588418,0.0382200242836967,0.004918139467516105,0.007303453999262022,0.27324920664997704,0.4384791906346969,0.36550010934353183
SWE,2390,0.023325427696312438,0.0051188783383525616,-0.45884967139108435,0.002581811307702353,0.2748230874681695,0.5363287174819206,0.6332084095740578,0.43648855904348366,0.3741991684475775,0.47886941681094713,-0.0050000000000001,0.3546570300280476,0.0382200242836967,0.004893548754523036,0.007303453946249094,0.273249206588654,0.4384791907122578,0.3655001091451127
SWE,2391,0.02332551721731371,0.005093282429044873,-0.4588440600241537,0.002581836305148577,0.2748230790607608,0.5363289924698782,0.6338118495133833,0.43648856967710553,0.37419912208554545,0.4764750697268924,-0.005,0.3528837448779073,0.0382200242836967,0.004869080995975281,0.0073034538959667605,0.27324920653048806,0.4384791907858256,0.3655001089569084
SWE,2392,0.02332560359639776,0.0050678145601233135,-0.45883861975789,0.0025818603376719373,0.27482307097885095,0.536329252788406,0.6344183057993837,0.436488579899039,0.37419907751708786,0.4740926943782581,-0.0049999999999998,0.35111932615351793,0.0382200242836967,0.004844735577051095,0.007303453848272468,0.2732492064753174,0.438479190855605,0.3655001087783961
SWE,2393,0.0233256868604424,0.005042474090328215,-0.45883334272752974,0.0025818834017694026,0.274823063223409,0.5363294964522366,0.6350277938916841,0.4364885897080586,0.3741990347478439,0.4717222309063667,-0.0050000000000001,0.34936372952275024,0.0382200242836967,0.004820511886005649,0.0073034538030342655,0.2732492064229874,0.4384791909217916,0.36550010860907506
SWE,2394,0.02332576702511131,0.005017260381805148,-0.4588282194368025,0.0025819054893245763,0.2748230557969521,0.5363297207751544,0.6356403293768618,0.4364885991009806,0.3741989937919946,0.4693636197518348,-0.0050000000000001,0.34761691087513646,0.0382200242836967,0.004796409314155459,0.007303453760126144,0.27324920637335154,0.4384791909845706,0.3655001084484708
SWE,2395,0.023325844093847907,0.004992172800100471,-0.4588232381090158,0.00258192658727896,0.2748230487036542,0.5363299221054746,0.6362559279988972,0.43648860807252576,0.37419895467286557,0.46701680165307563,-0.005,0.34587882632076083,0.0382200242836967,0.0047724272558629195,0.007303453719425423,0.27324920632627203,0.43847919104411637,0.3655001082961394
SWE,2396,0.023325918056866197,0.0049672107141566745,-0.45881838378006323,0.0025819466785139134,0.27482304194905216,0.5363300954331995,0.6368746057026462,0.4364886166156912,0.37419891742130096,0.46468171764481037,-0.0049999999999998,0.344149432189157,0.0382200242836967,0.004748565108521001,0.007303453680822747,0.27324920628161586,0.43847919110059713,0.365500108151647
SWE,2397,0.023325988891263572,0.004942373496288945,-0.45881363695774313,0.0025819657454254075,0.27482303553885307,0.5363302337842495,0.6374963787028309,0.4364886247232586,0.3741988820690744,0.4623583090565863,-0.005,0.3424286850282112,0.0382200242836967,0.004724822272537847,0.007303453644205704,0.27324920623925963,0.43847919115416895,0.36550010801459815
SWE,2398,0.023326056564487642,0.004917660522107863,-0.4588089715259609,0.0025819837818511493,0.2748230294749587,0.5363303272263774,0.6381212636002895,0.43648863239282265,0.3741988486269145,0.4600465175113035,-0.0049999999999998,0.3407165416030703,0.0382200242836967,0.004701198151321714,0.007303453609475097,0.27324920619908405,0.43847919120498274,0.36550010788460424
SWE,2399,0.023326121048001126,0.004893071170279315,-0.4588043512291202,0.002582000828954434,0.27482302374350315,0.5363303610895034,0.638749277596307,0.43648863964192075,0.3741988170183892,0.4577462849237469,-0.0050000000000001,0.3390129588950549,0.0382200242836967,0.00467769215126574,0.007303453576533003,0.2732492061609769,0.43847919125318024,0.36550010776130304
SWE,2400,0.023326182360715927,0.004868604821813833,-0.45879972320290374,0.002582020265704199,0.2748230172180262,0.5363303123783595,0.6393804368071095,0.43648864789529057,0.37419878101759146,0.4554575534991282,-0.005,0.3373178941005796,0.0382200242836967,0.004654303681732961,0.007303453576533003,0.2732492061144166,0.43847919131206936,0.36550010758678364
USA,2016,0.0382200242836967,0.3277224269999999,-0.3606681882480691,0.010353693230327032,0.1300788902826127,0.548826657363517,0.6757447921675248,0.31637218779604187,0.9371225847507868,1.0,0.0093512413315424,0.8936527152804696,0.0382200242836967,0.3277224269999999,0.0011014920149048923,0.1331629573544201,0.31161293932589806,0.9818745357074602
USA,2017,0.03970562462696824,0.3336584875480641,-0.32565919940063814,-0.012219813722662065,0.13763105280954427,0.5472702827687508,0.6944456508253378,0.3047178958770556,1.0468430800167305,1.009174373752688,0.0091743737526879,0.9001264570127393,0.0382200242836967,0.3364746550104892,-0.02232953794331717,0.14100096088309597,0.2995175453431169,1.0958053381809378
USA,2018,0.041081557170227,0.33955524025883405,-0.29635409996525297,-0.008305566468047643,0.13630544183803647,0.5464262693591716,0.6959565440824216,0.30676354269382766,1.0275008726470813,1.0178265203322006,0.0085734901762706,0.9058890385467222,0.0382200242836967,0.34505767114338903,-0.0190069224867791,0.13987256051094696,0.30125886212379016,1.0792784962824398
USA,2019,0.04231733004379133,0.3453262448550598,-0.2645086639376384,-0.22900173486592004,0.2098183802215901,0.5465306516693446,0.8469187122424,0.1933203745033678,2.091774237453753,1.0261159628605017,0.0081442587343818,0.9112217646941811,0.0382200242836967,0.3533157612034657,-0.24829311306405655,0.21624883962096894,0.18339706435924685,2.184888308633899
USA,2020,0.04433399604265424,0.34781433557831803,-0.2513968108116824,0.08950288995769418,0.10355600380101776,0.547858977887966,0.6501096621217802,0.35730158523529854,0.554760942348469,1.0311028090453795,0.0048599245751679,0.9136031259095158,0.0382200242836967,0.35976641767321205,0.07789306653525502,0.1074259449418308,0.35132959726450275,0.610556123012697
USA,2021,0.04484928252188144,0.3524025017331531,-0.20095259827616552,0.06915914164861008,0.11025233508059461,0.5473023856010192,0.6638636327105368,0.3469679888329267,0.6524360641383397,1.0332875027726327,0.002118793303721,0.9134443004362122,0.0382200242836967,0.3655174111026524,0.05711011042745688,0.114268678820979,0.3407700763501757,0.7101172181735986
USA,2022,0.045427773990011265,0.35872098914232353,-0.15458092276608282,0.0052889692979785075,0.13143844604943486,0.5474318279894101,0.7068674273225091,0.3142741582938717,0.9566352544661803,1.0374257830200775,0.0040049649650657,0.9144766280725146,0.0382200242836967,0.3732169215304514,-0.006542908039105705,0.13538240516179628,0.30818794780143394,1.0130089602001224
USA,2023,0.045929830309367314,0.36566068413755703,-0.12954363833206273,-0.013732269036448363,0.137588819916778,0.5467147598020996,0.7212016230190331,0.30478306852914383,1.043671485057667,1.043286256718721,0.0056490534499566,0.9165388700586079,0.0382200242836967,0.3814483226676261,-0.02416578449959042,0.141066658404492,0.2994161627139729,1.0929564562825953
USA,2024,0.04612319879513078,0.37185669117946735,-0.11880856430023545,-0.019783431133995846,0.13935536776321938,0.5460378471662651,0.726400892221854,0.3020569799130863,1.0672946748323662,1.0491585571944981,0.0056286569845616,0.9186740314767232,0.0382200242836967,0.3883073297327015,-0.029194805404412327,0.14249249252002488,0.2972158542657355,1.111254582257724
USA,2025,0.04610076059243924,0.3775143552832606,-0.11419345002488335,-0.011837037414813553,0.1364573790792609,0.54560855610354,0.7218069525199367,0.30652907727332324,1.0257596735695778,1.0547291486483685,0.0053095801541822,0.9208027283831022,0.0382200242836967,0.39416871240526574,-0.02067179975542842,0.13940229985946587,0.3019845555779272,1.0665726160047861
USA,2026,0.04596357322833151,0.3829608356119431,-0.10755889511808814,-0.003908259226514665,0.13354851952891372,0.5455487159179618,0.7167650356951963,0.31101795025906537,0.9849478717913748,1.0600302696157895,0.0050260495542522,0.9226771357895616,0.0382200242836967,0.3995665174994098,-0.011890538401440026,0.13620927925388884,0.30691193817966955,1.0213951058748654
USA,2027,0.04570372800019471,0.38818155447114633,-0.10152716562772568,-0.0038885871649428083,0.1332551831830723,0.5458451094899343,0.7163816494192347,0.3114706189341228,0.9804544496678328,1.0651356663928493,0.0048162745191326,0.9243623550548551,0.0382200242836967,0.4044583640329351,-0.011315454386292528,0.13573080559018888,0.3076503057310061,1.013946852141949
USA,2028,0.045397263052471847,0.3935161948779212,-0.098862641529601,-0.0014265478041387003,0.1321706109809392,0.5459650041875341,0.7140572746561109,0.31314430127422105,0.9655191810971282,1.0701954529864564,0.0047503681955767,0.9260997101061683,0.0382200242836967,0.40935198606043594,-0.008148123969862031,0.13441113636951366,0.30968678339940964,0.995490373594282
USA,2029,0.045034412756011936,0.39895947072495896,-0.09825683216409864,0.014215650154689174,0.1267152524826782,0.5458293008258731,0.7025706714928684,0.3215628622141811,0.8930511269226604,1.0751612761550513,0.0046401086406575,0.9278555176154988,0.0382200242836967,0.41421522972256614,0.00968694450197502,0.12822482103358293,0.31923333706145474,0.9130390458688802
USA,2030,0.0444217033420353,0.4044181664773266,-0.09968509573397055,0.013136112738156985,0.12683580396427857,0.5456568821513853,0.7008075837637395,0.32137683044476056,0.895124600691446,1.079978299065188,0.0044802793933977,0.9296434261195791,0.0382200242836967,0.4185118800475522,0.009294372142484852,0.12811638416283594,0.3194006738927213,0.9119112199371081
USA,2031,0.04382921920808828,0.4100335253836479,-0.10260086053313167,0.012635928252032247,0.12681025090014245,0.545265205341579,0.6986373966972446,0.32141626323871925,0.8951689563852389,1.0847137479280557,0.0043847629780771,0.9315564807371358,0.0382200242836967,0.4229753439005462,0.009222142526780858,0.12794817947522624,0.3196602427942849,0.909966882312057
USA,2032,0.04328800446970561,0.41564134369935035,-0.10532365691606271,0.014424255101952138,0.12606801411344498,0.5448838913130237,0.6950819529062833,0.32256166287151783,0.8858590052452018,1.0893680880295635,0.0042908464195261,0.9336327759164783,0.0382200242836967,0.4275091426635358,0.011496522160842876,0.12704392509381474,0.321055663575076,0.8984737049318354
USA,2033,0.04277944929227706,0.4205523244789898,-0.1020001033885074,0.015402141248763213,0.1255871976003282,0.545281267635158,0.6924350540711014,0.3233036458443881,0.8800415553877158,1.0939432170063612,0.0041998008084422,0.9358008926224015,0.0382200242836967,0.43136808613521316,0.013383777810270503,0.1262599854131591,0.32226541798020925,0.8886830012154551
USA,2034,0.04224053430464885,0.4250057164362524,-0.09756378936311227,0.015950134622664563,0.12523551887948195,0.5461018485033194,0.6900557976638215,0.3238463468866157,0.8759837826766596,1.098466015003238,0.0041343992325795,0.9380171323904517,0.0382200242836967,0.4346561309886637,0.015425604452115799,0.12541036226966487,0.3235765333197028,0.8782141003911252
USA,2035,0.04159871833265257,0.4291084891751152,-0.09445819014958756,0.015104788820672038,0.1253346747750809,0.5471909498127042,0.6882779883085625,0.32369333220391017,0.8777285398969402,1.1029102070511954,0.004045816609032,0.940284998454952,0.0382200242836967,0.43730890064734795,0.014589782450496802,0.12550634356513932,0.3234284175936134,0.879902242865019
